Date,Open,High,Low,Close,Adj Close,Volume
23-05-2018,182.50,186.91,182.18,186.90,186.90,16628100
24-05-2018,185.88,186.80,185.03,185.93,185.93,12354700
25-05-2018,186.02,186.33,184.45,184.92,184.92,10965100
29-05-2018,184.34,186.81,183.71,185.74,185.74,16398900
30-05-2018,186.54,188.00,185.25,187.67,187.67,13736900
31-05-2018,187.87,192.72,187.48,191.78,191.78,30782600
01-06-2018,193.07,194.55,192.07,193.99,193.99,17307200
04-06-2018,191.84,193.98,191.47,193.28,193.28,18939800
05-06-2018,194.30,195.00,192.62,192.94,192.94,15544300
06-06-2018,191.03,192.53,189.11,191.34,191.34,22558900
07-06-2018,190.75,190.97,186.77,188.18,188.18,21503200
08-06-2018,187.53,189.48,186.43,189.10,189.10,12677100
11-06-2018,188.81,192.60,188.80,191.54,191.54,12928900
12-06-2018,192.17,193.28,191.56,192.40,192.40,11562700
13-06-2018,192.74,194.50,191.91,192.41,192.41,15853800
14-06-2018,193.10,197.28,192.91,196.81,196.81,19120900
15-06-2018,195.79,197.07,194.64,195.85,195.85,21860900
18-06-2018,194.80,199.58,194.13,198.31,198.31,16826000
19-06-2018,196.24,197.96,193.79,197.49,197.49,19994000
20-06-2018,199.10,203.55,198.81,202.00,202.00,28230900
21-06-2018,202.76,203.39,200.09,201.50,201.50,19045700
22-06-2018,201.16,202.24,199.31,201.74,201.74,17420200
25-06-2018,200.00,200.00,193.11,196.35,196.35,25275100
26-06-2018,197.60,199.10,196.23,199.00,199.00,17897600
27-06-2018,199.18,200.75,195.80,195.84,195.84,18734400
28-06-2018,195.18,197.34,193.26,196.23,196.23,18172400
29-06-2018,197.32,197.60,193.96,194.32,194.32,15811600
02-07-2018,193.37,197.45,192.22,197.36,197.36,13961600
03-07-2018,194.55,195.40,192.52,192.73,192.73,13489500
05-07-2018,194.74,198.65,194.03,198.45,198.45,19684200
06-07-2018,198.45,203.64,197.70,203.23,203.23,19740100
09-07-2018,204.93,205.80,202.12,204.74,204.74,18149400
10-07-2018,204.50,204.91,202.26,203.54,203.54,13190100
11-07-2018,202.22,204.50,201.75,202.54,202.54,12927400
12-07-2018,203.43,207.08,203.19,206.92,206.92,15454700
13-07-2018,207.81,208.43,206.45,207.32,207.32,11486800
16-07-2018,207.50,208.72,206.84,207.23,207.23,11078200
17-07-2018,204.90,210.46,204.84,209.99,209.99,15349900
18-07-2018,209.82,210.99,208.44,209.36,209.36,15334900
19-07-2018,208.77,209.99,207.76,208.09,208.09,11350400
20-07-2018,208.85,211.50,208.50,209.94,209.94,16163900
23-07-2018,210.58,211.62,208.80,210.91,210.91,16732000
24-07-2018,215.11,216.20,212.60,214.67,214.67,28468700
25-07-2018,215.72,218.62,214.27,217.50,217.50,58954200
26-07-2018,174.89,180.13,173.75,176.26,176.26,169803700
27-07-2018,179.87,179.93,173.00,174.89,174.89,60073700
30-07-2018,175.30,175.30,166.56,171.06,171.06,65280800
31-07-2018,170.67,174.24,170.00,172.58,172.58,40356500
01-08-2018,173.93,175.08,170.90,171.65,171.65,34042100
02-08-2018,170.68,176.79,170.27,176.37,176.37,32400000
03-08-2018,177.69,178.85,176.15,177.78,177.78,24763400
06-08-2018,178.97,185.79,178.38,185.69,185.69,49716200
07-08-2018,186.50,188.30,183.72,183.81,183.81,33398600
08-08-2018,184.75,186.85,183.76,185.18,185.18,22205200
09-08-2018,185.85,186.57,182.48,183.09,183.09,19696700
10-08-2018,182.04,182.10,179.42,180.26,180.26,21500400
13-08-2018,180.10,182.61,178.90,180.05,180.05,17369400
14-08-2018,180.71,181.99,178.62,181.11,181.11,19102000
15-08-2018,179.34,180.87,174.78,179.53,179.53,33020200
16-08-2018,180.42,180.50,174.01,174.70,174.70,31351800
17-08-2018,174.50,176.22,172.04,173.80,173.80,24893200
20-08-2018,174.04,174.57,170.91,172.50,172.50,21518000
21-08-2018,172.81,174.17,171.39,172.62,172.62,19578500
22-08-2018,172.21,174.24,172.13,173.64,173.64,16894100
23-08-2018,173.09,175.55,172.83,172.90,172.90,18053600
24-08-2018,173.70,174.82,172.92,174.65,174.65,14631600
27-08-2018,175.99,178.67,175.79,177.46,177.46,17921900
28-08-2018,178.10,178.24,175.83,176.26,176.26,15910700
29-08-2018,176.30,176.79,174.75,175.90,175.90,18494100
30-08-2018,175.90,179.79,175.70,177.64,177.64,24216500
31-08-2018,177.15,177.62,174.98,175.73,175.73,18065200
04-09-2018,173.50,173.89,168.80,171.16,171.16,29809000
05-09-2018,169.49,171.13,166.67,167.18,167.18,31226700
06-09-2018,166.98,166.98,160.00,162.53,162.53,41514800
07-09-2018,160.31,164.63,160.16,163.04,163.04,24300600
10-09-2018,163.51,165.01,162.16,164.18,164.18,20197700
11-09-2018,163.94,167.19,163.72,165.94,165.94,20457100
12-09-2018,163.25,164.49,161.80,162.00,162.00,24078100
13-09-2018,162.00,163.32,160.86,161.36,161.36,25453800
14-09-2018,161.72,162.84,160.34,162.32,162.32,21770400
17-09-2018,161.92,162.06,159.77,160.58,160.58,21005300
18-09-2018,159.39,161.76,158.87,160.30,160.30,22465200
19-09-2018,160.08,163.44,159.48,163.06,163.06,19629000
20-09-2018,164.50,166.45,164.47,166.02,166.02,18824200
21-09-2018,166.64,167.25,162.81,162.93,162.93,45994800
24-09-2018,161.03,165.70,160.88,165.41,165.41,19222800
25-09-2018,161.99,165.59,161.15,164.91,164.91,27622800
26-09-2018,164.30,169.30,164.21,166.95,166.95,25252200
27-09-2018,167.55,171.77,167.21,168.84,168.84,27266900
28-09-2018,168.33,168.79,162.56,164.46,164.46,34265600
01-10-2018,163.03,165.88,161.26,162.44,162.44,26407700
02-10-2018,161.58,162.28,158.67,159.33,159.33,36031000
03-10-2018,160.00,163.66,159.53,162.43,162.43,23109500
04-10-2018,161.46,161.46,157.35,158.85,158.85,25739600
05-10-2018,159.21,160.90,156.20,157.33,157.33,25744000
08-10-2018,155.54,158.34,154.39,157.25,157.25,24046000
09-10-2018,157.69,160.59,157.42,157.90,157.90,18844400
10-10-2018,156.82,157.69,151.31,151.38,151.38,30610000
11-10-2018,150.13,154.81,149.16,153.35,153.35,35338900
12-10-2018,156.73,156.89,151.30,153.74,153.74,25293500
15-10-2018,153.32,155.57,152.55,153.52,153.52,15433500
16-10-2018,155.40,159.46,155.01,158.78,158.78,19180100
17-10-2018,159.56,160.49,157.95,159.42,159.42,17592000
18-10-2018,158.51,158.66,153.28,154.92,154.92,21675100
19-10-2018,155.86,157.35,153.55,154.05,154.05,19761300
22-10-2018,154.76,157.34,154.46,154.78,154.78,15424700
23-10-2018,151.22,154.77,150.85,154.39,154.39,19095000
24-10-2018,154.28,154.65,145.60,146.04,146.04,27744600
25-10-2018,147.73,152.21,147.00,150.95,150.95,22105700
26-10-2018,145.82,149.00,143.80,145.37,145.37,31303300
29-10-2018,148.50,148.83,139.03,142.09,142.09,31336800
30-10-2018,139.94,146.64,139.74,146.22,146.22,50528300
31-10-2018,155.00,156.40,148.96,151.79,151.79,60101300
01-11-2018,151.52,152.75,149.35,151.75,151.75,25640800
02-11-2018,151.80,154.13,148.96,150.35,150.35,24708700
05-11-2018,150.10,150.19,147.44,148.68,148.68,15971200
06-11-2018,149.31,150.97,148.00,149.94,149.94,16667100
07-11-2018,151.57,153.01,149.83,151.53,151.53,21877400
08-11-2018,150.49,150.94,146.74,147.87,147.87,24145800
09-11-2018,146.75,147.76,144.07,144.96,144.96,17326900
12-11-2018,144.48,145.04,140.49,141.55,141.55,18542100
13-11-2018,142.00,144.88,141.62,142.16,142.16,15141700
14-11-2018,143.70,145.58,141.55,144.22,144.22,22068400
15-11-2018,142.33,144.84,140.83,143.85,143.85,30320300
16-11-2018,141.07,141.77,137.77,139.53,139.53,37250600
19-11-2018,137.61,137.75,131.21,131.55,131.55,44362700
20-11-2018,127.03,134.16,126.85,132.43,132.43,41939500
21-11-2018,134.40,137.19,134.13,134.82,134.82,25469700
23-11-2018,133.65,134.50,131.26,131.73,131.73,11886100
26-11-2018,133.00,137.00,132.78,136.38,136.38,24263600
27-11-2018,135.75,136.61,133.71,135.00,135.00,20750300
28-11-2018,136.28,136.79,131.85,136.76,136.76,29847500
29-11-2018,135.92,139.99,135.66,138.68,138.68,24238700
30-11-2018,138.26,140.97,137.36,140.61,140.61,25732600
03-12-2018,143.00,143.68,140.76,141.09,141.09,24819200
04-12-2018,140.73,143.39,137.16,137.93,137.93,30307400
06-12-2018,133.82,139.70,133.67,139.63,139.63,28218100
07-12-2018,139.25,140.87,136.66,137.42,137.42,21195500
10-12-2018,139.60,143.05,139.01,141.85,141.85,26422200
11-12-2018,143.88,143.88,141.10,142.08,142.08,20300300
12-12-2018,143.08,147.19,142.51,144.50,144.50,23696900
13-12-2018,145.57,145.85,143.19,145.01,145.01,18148600
14-12-2018,143.34,146.01,142.51,144.06,144.06,21785800
17-12-2018,143.08,144.92,138.42,140.19,140.19,24334000
18-12-2018,141.08,145.93,139.83,143.66,143.66,24709100
19-12-2018,141.21,144.91,132.50,133.24,133.24,57404900
20-12-2018,130.70,135.57,130.00,133.40,133.40,40297900
21-12-2018,133.39,134.90,123.42,124.95,124.95,56901500
24-12-2018,123.10,129.74,123.02,124.06,124.06,22066000
26-12-2018,126.00,134.24,125.89,134.18,134.18,39723400
27-12-2018,132.44,134.99,129.67,134.52,134.52,31202500
28-12-2018,135.34,135.92,132.20,133.20,133.20,22627600
31-12-2018,134.45,134.64,129.95,131.09,131.09,24625300
02-01-2019,128.99,137.51,128.56,135.68,135.68,28146200
03-01-2019,134.69,137.17,131.12,131.74,131.74,22700800
04-01-2019,134.01,138.00,133.75,137.95,137.95,29002100
07-01-2019,137.56,138.87,135.91,138.05,138.05,20089300
08-01-2019,139.89,143.14,139.54,142.53,142.53,26263800
09-01-2019,142.95,144.70,141.27,144.23,144.23,22205900
10-01-2019,143.08,144.56,140.84,144.20,144.20,16125000
11-01-2019,143.15,145.36,142.57,143.80,143.80,12908000
14-01-2019,142.00,146.57,141.27,145.39,145.39,20520300
15-01-2019,146.01,150.68,145.99,148.95,148.95,24069000
16-01-2019,149.00,149.65,147.00,147.54,147.54,18025700
17-01-2019,146.95,149.00,146.50,148.30,148.30,15787900
18-01-2019,149.75,152.43,148.55,150.04,150.04,31029600
22-01-2019,149.20,151.53,146.37,147.57,147.57,22378700
23-01-2019,148.28,148.80,143.06,144.30,144.30,20098400
24-01-2019,144.64,146.44,142.52,145.83,145.83,20955500
25-01-2019,147.48,149.83,146.54,149.01,149.01,22237200
28-01-2019,148.05,148.96,146.21,147.47,147.47,15508500
29-01-2019,148.09,148.10,143.43,144.19,144.19,17632100
30-01-2019,146.22,150.95,145.70,150.42,150.42,44613200
31-01-2019,165.60,171.68,165.00,166.69,166.69,77233600
01-02-2019,165.84,169.10,165.66,165.71,165.71,30806500
04-02-2019,165.70,169.30,163.62,169.25,169.25,20036000
05-02-2019,169.15,171.98,168.69,171.16,171.16,22557000
06-02-2019,171.20,172.47,169.27,170.49,170.49,13281200
07-02-2019,168.20,169.24,165.25,166.38,166.38,17517600
08-02-2019,164.47,167.37,164.21,167.33,167.33,12561400
11-02-2019,167.90,168.30,165.08,165.79,165.79,12811200
12-02-2019,166.86,168.34,164.50,165.04,165.04,16292300
13-02-2019,165.38,166.22,163.73,164.07,164.07,14205100
14-02-2019,163.19,164.87,162.25,163.95,163.95,12755200
15-02-2019,164.51,164.70,160.86,162.50,162.50,15504400
19-02-2019,160.50,164.15,160.33,162.29,162.29,14345400
20-02-2019,162.25,163.72,161.25,162.56,162.56,11770700
21-02-2019,161.93,162.24,159.59,160.04,160.04,15607800
22-02-2019,160.58,162.41,160.31,161.89,161.89,15858500
25-02-2019,163.07,166.07,162.90,164.62,164.62,18737100
26-02-2019,164.34,166.24,163.80,164.13,164.13,13784100
27-02-2019,162.90,163.93,160.41,162.81,162.81,12697500
28-02-2019,162.37,163.50,160.86,161.45,161.45,11114200
